"model_name","net_weights","error_value","checksum","repo_release_tag","model_caption","arxiv_paper","test_dataset","img_size","img_scale","test_batch","remark"
"resnext50_32x4d",25028904,0560,"d7976503d13734114364e0dfef1d22f6d76546d9","v0.0.498","ResNeXt-50 (32x4d)","1611.05431","in1k",224,0.875,200,NA
"resnext101_32x4d",44177704,0434,"5ac165981bac62627719b3362b31b456cba05df4","v0.0.530","ResNeXt-101 (32x4d)","1611.05431","in1k",224,0.875,200,NA
"resnext101_64x4d",83455272,0452,"60d1913ec591af7786056b1d87b3add07fdcf2e1","v0.0.544","ResNeXt-101 (64x4d)","1611.05431","in1k",224,0.875,200,NA
"seresnet10",5463332,1202,"8dace12e6aaac68d3c272f52b2513a5b40a4f959","v0.0.486","SE-ResNet-10","1709.01507","in1k",224,0.875,200,NA
"seresnet12",5537896,1200,"81d5406e29f4c91cb85e079cf66c6e7348079e5b","v0.0.544","SE-ResNet-12","1709.01507","in1k",224,0.875,200,NA
"seresnet14",5835504,1128,"2afa45c6a2a8cad376e994fc690b9f72cffdc875","v0.0.545","SE-ResNet-14","1709.01507","in1k",224,0.875,200,NA
"seresnet16",7024640,0998,"e2c666dd14dec8918854df7200706ed0c5ae8e74","v0.0.545","SE-ResNet-16","1709.01507","in1k",224,0.875,200,NA
"seresnet18",11778592,0961,"022123a5e88c9917e63165f5b5a7808a606d452a","v0.0.355","SE-ResNet-18","1709.01507","in1k",224,0.875,200,NA
"seresnet26",18093852,0824,"64fc8759c5bb9b9b40b2e33a46420ee22ae268c9","v0.0.363","SE-ResNet-26","1709.01507","in1k",224,0.875,200,NA
"seresnetbc26b",17395976,0703,"b98d9d6afca4d79d0347001542162b9fe4071d39","v0.0.366","SE-ResNet-BC-26b","1709.01507","in1k",224,0.875,200,NA
"seresnet34",21958868,NA,NA,NA,"SE-ResNet-34","1709.01507","in1k",224,0.875,200,NA
"seresnetbc38b",24026616,0595,"03671c05f5f684b44085383b7b89a8b44a7524fe","v0.0.374","SE-ResNet-BC-38b","1709.01507","in1k",224,0.875,200,NA
"seresnet50",28088024,0575,"004bfde422c860c4f11b1e1190bb5a8db477d939","v0.0.441","SE-ResNet-50","1709.01507","in1k",224,0.875,200,NA
"seresnet50b",28088024,0539,"459e6871e944d1c7102ee9c055ea428b8d9a168c","v0.0.387","SE-ResNet-50b","1709.01507","in1k",224,0.875,200,NA
"seresnet101",49326872,0460,"37851448605dae67bbf83ff8e7f7e7cc367e1746","v0.0.533","SE-ResNet-101","1709.01507","in1k",224,0.875,200,NA
"seresnet101b",49326872,0487,"b83a20fd2ad9a32e0fe5cb3daef45aac03ea3194","v0.0.460","SE-ResNet-101b","1709.01507","in1k",224,0.875,200,NA
"seresnet152",66821848,0439,"7a6b02ac25caccb0420eea542c625f9b0bfb3e03","v0.0.538","SE-ResNet-152","1709.01507","in1k",224,0.875,200,NA
"seresnet152b",66821848,NA,NA,NA,"SE-ResNet-152b","1709.01507","in1k",224,0.875,200,NA
"seresnet200",71835864,NA,NA,NA,"SE-ResNet-200","1709.01507","in1k",224,0.875,200,NA
"seresnet200b",71835864,NA,NA,NA,"SE-ResNet-200b","1709.01507","in1k",224,0.875,200,NA
"sepreresnet10",5461668,1257,"a08d5c618ebf6bca046f826366e7cd6fbe40851b","v0.0.544","SE-PreResNet-10","1709.01507","in1k",224,0.875,200,NA
"sepreresnet12",5536232,1203,"4f8d63e2a1841b0a1b5bae5caa46770c3f183055","v0.0.543","SE-PreResNet-12","1709.01507","in1k",224,0.875,200,NA
"sepreresnet14",5833840,NA,NA,NA,"SE-PreResNet-14","1709.01507","in1k",224,0.875,200,NA
"sepreresnet16",7022976,0975,"251c11a4886ba81d7ac377ace5ab0172101f1b53","v0.0.543","SE-PreResNet-16","1709.01507","in1k",224,0.875,200,NA
"sepreresnet18",11776928,0909,"cd3cc116f96254d5d664f1c322bbc684287aa82d","v0.0.543","SE-PreResNet-18","1709.01507","in1k",224,0.875,200,NA
"sepreresnet26",18092188,0822,"2c73c690d9822ac7cfe22471da78816b4ac729f9","v0.0.543","SE-PreResNet-26","1709.01507","in1k",224,0.875,200,NA
"sepreresnetbc26b",17388424,0660,"f750b2f588a27620b30c86f0060a41422d4a0f75","v0.0.399","SE-PreResNet-BC-26b","1709.01507","in1k",224,0.875,200,NA
"sepreresnet34",21957204,NA,NA,NA,"SE-PreResNet-34","1709.01507","in1k",224,0.875,200,NA
"sepreresnetbc38b",24019064,0578,"12827fcd3c8c1a8c8ba1d109e85ffa67e7ab306a","v0.0.409","SE-PreResNet-BC-38b","1709.01507","in1k",224,0.875,200,NA
"sepreresnet50",28080472,NA,NA,NA,"SE-PreResNet-50","1709.01507","in1k",224,0.875,200,NA
"sepreresnet50b",28080472,0549,"4628a07d7dd92c775868dffd33fd6e3e7522c261","v0.0.461","SE-PreResNet-50b","1709.01507","in1k",224,0.875,200,NA
"sepreresnet101",49319320,NA,NA,NA,"SE-PreResNet-101","1709.01507","in1k",224,0.875,200,NA
"sepreresnet101b",49319320,NA,NA,NA,"SE-PreResNet-101b","1709.01507","in1k",224,0.875,200,NA
"sepreresnet152",66814296,NA,NA,NA,"SE-PreResNet-152","1709.01507","in1k",224,0.875,200,NA
"sepreresnet152b",66814296,NA,NA,NA,"SE-PreResNet-152b","1709.01507","in1k",224,0.875,200,NA
"sepreresnet200",71828312,NA,NA,NA,"SE-PreResNet-200","1709.01507","in1k",224,0.875,200,NA
"sepreresnet200b",71828312,NA,NA,NA,"SE-PreResNet-200b","1709.01507","in1k",224,0.875,200,NA
"seresnext50_32x4d",27559896,0451,"52029a7f6170873b2d50a7016fba053e98183f7b","v0.0.505","SE-ResNeXt-50 (32x4d)","1709.01507","in1k",224,0.875,200,NA
"seresnext101_32x4d",48955416,0467,"c738e758c535fac87027fc4b9271a7cb95442505","v0.0.529","SE-ResNeXt-101 (32x4d)","1709.01507","in1k",224,0.875,200,NA
"seresnext101_64x4d",88232984,0428,"ea9d98df431d53251011099f317cd20fa2307d1b","v0.0.561","SE-ResNeXt-101 (64x4d)","1709.01507","in1k",224,0.875,200,NA
"senet16",31366168,0820,"373aeafdc994c3e03bf483a9fa3ecb152353722a","v0.0.341","SENet-16","1709.01507","in1k",224,0.875,200,NA
"senet28",36453768,0598,"27165b63696061e57c141314d44732aa65f807a8","v0.0.356","SENet-28","1709.01507","in1k",224,0.875,200,NA
"senet40",41541368,NA,NA,NA,"SENet-40","1709.01507","in1k",224,0.875,200,NA
"senet52",44659416,NA,NA,NA,"SENet-52","1709.01507","in1k",224,0.875,200,NA
"senet103",60963096,NA,NA,NA,"SENet-103","1709.01507","in1k",224,0.875,200,NA
"senet154",115088984,0455,"95dbccbe56dc93c4544e6d1c6673f09425a4cee2","v0.0.522","SENet-154","1709.01507","in1k",224,0.875,200,NA
"resnestabc14",10611688,0647,"0c3d9e34aebf0dee0dbcbb937eb54f2a7fc8f64a","v0.0.493","ResNeSt(A)-BC-14","2004.08955","in1k",224,0.875,200,NA
"resnesta18",12763784,0707,"efca5a69587dcdff3aa5d3d7cbd621d082299e27","v0.0.489","ResNeSt(A)-18","2004.08955","in1k",224,0.875,200,NA
"resnestabc26",17069448,0476,"7d97b20648e1f38454e6f5b1fe796c8eaf6e7e74","v0.0.495","ResNeSt(A)-BC-26","2004.08955","in1k",224,0.875,200,NA
"resnesta50",27483240,0449,"8ebaf2c7ee098e60bf9426c21d49a21bc00fa8d0","v0.0.531","ResNeSt(A)-50","2004.08955","in1k",224,0.875,200,NA
"resnesta101",48275016,0403,"61e147732069b54ed4da4b342b1b8526a0e9df54","v0.0.465","ResNeSt(A)-101","2004.08955","in1k",224,0.875,200,NA
"resnesta152",65316040,0463,"42e22fedbf9e7a8b2286163e3380044189d524c0","v0.0.540","ResNeSt(A)-152","2004.08955","in1k",224,0.875,200,NA
"resnesta200",70201544,0339,"6dc300871b186950ee64fd28bb168f7fb4a036e3","v0.0.465","ResNeSt(A)-200","2004.08955","in1k",256,0.875,150,NA
"resnesta269",110929480,0338,"6a555ce85eb177299eb43747cf019a50d3a143c1","v0.0.465","ResNeSt(A)-269","2004.08955","in1k",320,0.875,100,NA
